RANK,NAME,INDUSTRY,REVENUE (USD MILLIONS),REVENUE GROWTH,EMPLOYEES,HEADQUARTERS
66,ALLSTATE,INSURANCE,"64,106",12.30%,"55,200","NORTHFIELD TOWNSHIP, ILLINOIS"
67,PFIZER,PHARMACEUTICAL INDUSTRY,"63,627",8.80%,"81,000","NEW YORK CITY, NEW YORK"
68,IBM,TECHNOLOGY AND CLOUD COMPUTING,"62,753",1.40%,"2,84,500","ARMONK, NEW YORK"
69,NEW YORK LIFE INSURANCE COMPANY,INSURANCE,"62,639",15.30%,"15,131","NEW YORK CITY, NEW YORK"
70,DELTA AIR LINES,AIRLINE,"61,643",6.20%,"1,03,000","ATLANTA, GEORGIA"
71,PUBLIX SUPER MARKETS,RETAIL,"60,177",4.60%,"2,55,000","LAKELAND, FLORIDA"
72,NATIONWIDE MUTUAL INSURANCE COMPANY,FINANCIALS,"58,646",7.40%,"22,453","COLUMBUS, OHIO"
73,TD SYNNEX,INFORMATION TECHNOLOGY,"58,452",1.60%,"25,750","CLEARWATER, FLORIDA"
74,UNITED AIRLINES HOLDINGS,AIRLINE,"57,063",6.20%,"1,07,300","CHICAGO, ILLINOIS"
75,CONOCOPHILLIPS,PETROLEUM,"56,953",-2.80%,"11,800","HOUSTON, TEXAS"
76,TJX,RETAIL,"56,360",4.00%,"3,64,000","FRAMINGHAM, MASSACHUSETTS"
77,ABBVIE,PHARMACEUTICAL,"56,334",3.70%,"55,000","LAKE BLUFF, ILLINOIS"
78,ENTERPRISE PRODUCTS PARTNERS,PETROLEUM,"56,219",13.10%,"7,800","HOUSTON, TEXAS"
79,CHARTER COMMUNICATIONS,TELECOMMUNICATIONS,"55,085",0.90%,"94,500","STAMFORD, CONNECTICUT"
80,PERFORMANCE FOOD GROUP,FOOD PROCESSING,"54,681",2.50%,"36,815","RICHMOND, VIRGINIA"
81,AMERICAN AIRLINES GROUP,AIRLINE,"54,211",2.70%,"1,33,300","FORT WORTH, TEXAS"
82,CAPITAL ONE FINANCIAL,FINANCIALS,"53,938",9.00%,"52,600","TYSONS, VIRGINIA"
83,CISCO SYSTEMS,TELECOM HARDWARE MANUFACTURING,"53,803",-5.60%,"90,400","SAN JOSE, CALIFORNIA"
84,HP,TECHNOLOGY,"53,559",-0.30%,"58,000","PALO ALTO, CALIFORNIA"
85,TYSON FOODS,FOOD PROCESSING,"53,309",0.80%,"1,38,000","SPRINGDALE, ARKANSAS"
86,INTEL,TECHNOLOGY,"53,101",-2.10%,"1,08,900","SANTA CLARA, CALIFORNIA"
87,ORACLE,TECHNOLOGY,"52,961",6.00%,"1,59,000","AUSTIN, TEXAS"
88,BROADCOM,TECHNOLOGY,"52,432",46.40%,"37,000","PALO ALTO, CALIFORNIA"
89,DEERE,AGRICULTURE MANUFACTURING,"51,716",-15.60%,"55,524","MOLINE, ILLINOIS"
90,NIKE,APPAREL,"51,361",0.30%,"78,400","BEAVERTON, OREGON"
91,LIBERTY MUTUAL INSURANCE GROUP,INSURANCE,"50,429",-4.10%,"40,000","BOSTON, MASSACHUSETTS"
92,PLAINS GP HOLDINGS,PETROLEUM,"50,073",2.80%,"4,200","HOUSTON, TEXAS"
93,USAA,INSURANCE,"48,560",14.30%,"38,018","SAN ANTONIO, TEXAS"
94,BRISTOL-MYERS SQUIBB,PHARMACEUTICAL,"48,300",7.30%,"34,100","NEW YORK CITY, NEW YORK"
95,INGRAM MICRO HOLDING,TECHNOLOGY,"47,984",-0.10%,"26,125","IRVINE, CALIFORNIA"
96,GENERAL DYNAMICS,AEROSPACE AND DEFENSE,"47,716",12.90%,"1,17,000","RESTON, VIRGINIA"
97,COCA-COLA,BEVERAGE,"47,061",2.90%,"69,700","ATLANTA, GEORGIA"
98,TIAA,FINANCIALS,"46,946",2.60%,"15,623","NEW YORK CITY, NEW YORK"
99,TRAVELERS,INSURANCE,"46,423",12.20%,"34,000","NEW YORK CITY, NEW YORK"
100,ELI LILLY,PHARMACEUTICAL,"45,043",32.00%,"47,000","INDIANAPOLIS, INDIANA"
